95.142.107.181: PING 95.142.107.181 (95.142.107.181): 56 data bytes
64 bytes from 95.142.107.181: icmp_seq=0 ttl=113 time=131.660 ms
64 bytes from 95.142.107.181: icmp_seq=1 ttl=113 time=129.969 ms
64 bytes from 95.142.107.181: icmp_seq=2 ttl=113 time=123.593 ms
64 bytes from 95.142.107.181: icmp_seq=3 ttl=113 time=131.706 ms
64 bytes from 95.142.107.181: icmp_seq=4 ttl=113 time=130.184 ms
64 bytes from 95.142.107.181: icmp_seq=5 ttl=113 time=131.761 ms
64 bytes from 95.142.107.181: icmp_seq=6 ttl=113 time=127.059 ms
64 bytes from 95.142.107.181: icmp_seq=7 ttl=113 time=130.667 ms
64 bytes from 95.142.107.181: icmp_seq=8 ttl=113 time=132.298 ms
64 bytes from 95.142.107.181: icmp_seq=9 ttl=113 time=131.978 ms
64 bytes from 95.142.107.181: icmp_seq=10 ttl=113 time=130.338 ms
64 bytes from 95.142.107.181: icmp_seq=11 ttl=113 time=127.758 ms
64 bytes from 95.142.107.181: icmp_seq=12 ttl=113 time=131.684 ms
64 bytes from 95.142.107.181: icmp_seq=13 ttl=113 time=131.124 ms
64 bytes from 95.142.107.181: icmp_seq=14 ttl=113 time=132.439 ms
64 bytes from 95.142.107.181: icmp_seq=15 ttl=113 time=123.183 ms
64 bytes from 95.142.107.181: icmp_seq=16 ttl=113 time=124.020 ms
64 bytes from 95.142.107.181: icmp_seq=17 ttl=113 time=123.687 ms
64 bytes from 95.142.107.181: icmp_seq=18 ttl=113 time=123.778 ms
64 bytes from 95.142.107.181: icmp_seq=19 ttl=113 time=130.970 ms
64 bytes from 95.142.107.181: icmp_seq=20 ttl=113 time=132.179 ms
64 bytes from 95.142.107.181: icmp_seq=21 ttl=113 time=123.658 ms
64 bytes from 95.142.107.181: icmp_seq=22 ttl=113 time=130.238 ms
64 bytes from 95.142.107.181: icmp_seq=23 ttl=113 time=130.809 ms
64 bytes from 95.142.107.181: icmp_seq=24 ttl=113 time=123.774 ms
64 bytes from 95.142.107.181: icmp_seq=25 ttl=113 time=131.576 ms
64 bytes from 95.142.107.181: icmp_seq=26 ttl=113 time=130.577 ms
64 bytes from 95.142.107.181: icmp_seq=27 ttl=113 time=129.979 ms
64 bytes from 95.142.107.181: icmp_seq=28 ttl=113 time=133.073 ms
64 bytes from 95.142.107.181: icmp_seq=29 ttl=113 time=132.963 ms
64 bytes from 95.142.107.181: icmp_seq=30 ttl=113 time=124.330 ms
64 bytes from 95.142.107.181: icmp_seq=31 ttl=113 time=131.608 ms
64 bytes from 95.142.107.181: icmp_seq=32 ttl=113 time=123.821 ms
64 bytes from 95.142.107.181: icmp_seq=33 ttl=113 time=132.325 ms
64 bytes from 95.142.107.181: icmp_seq=34 ttl=113 time=131.916 ms
64 bytes from 95.142.107.181: icmp_seq=35 ttl=113 time=123.874 ms
64 bytes from 95.142.107.181: icmp_seq=36 ttl=113 time=124.045 ms
64 bytes from 95.142.107.181: icmp_seq=37 ttl=113 time=123.373 ms
64 bytes from 95.142.107.181: icmp_seq=38 ttl=113 time=123.898 ms
64 bytes from 95.142.107.181: icmp_seq=39 ttl=113 time=125.112 ms
64 bytes from 95.142.107.181: icmp_seq=40 ttl=113 time=123.697 ms
64 bytes from 95.142.107.181: icmp_seq=41 ttl=113 time=123.656 ms
64 bytes from 95.142.107.181: icmp_seq=42 ttl=113 time=130.447 ms
64 bytes from 95.142.107.181: icmp_seq=43 ttl=113 time=131.487 ms
64 bytes from 95.142.107.181: icmp_seq=44 ttl=113 time=131.393 ms
64 bytes from 95.142.107.181: icmp_seq=45 ttl=113 time=130.335 ms
64 bytes from 95.142.107.181: icmp_seq=46 ttl=113 time=124.096 ms
64 bytes from 95.142.107.181: icmp_seq=47 ttl=113 time=131.215 ms
64 bytes from 95.142.107.181: icmp_seq=48 ttl=113 time=129.199 ms
64 bytes from 95.142.107.181: icmp_seq=49 ttl=113 time=124.715 ms
64 bytes from 95.142.107.181: icmp_seq=50 ttl=113 time=132.020 ms
64 bytes from 95.142.107.181: icmp_seq=51 ttl=113 time=134.176 ms
64 bytes from 95.142.107.181: icmp_seq=52 ttl=113 time=124.507 ms
64 bytes from 95.142.107.181: icmp_seq=53 ttl=113 time=126.212 ms
64 bytes from 95.142.107.181: icmp_seq=54 ttl=113 time=131.624 ms
64 bytes from 95.142.107.181: icmp_seq=55 ttl=113 time=123.734 ms
64 bytes from 95.142.107.181: icmp_seq=56 ttl=113 time=132.333 ms
64 bytes from 95.142.107.181: icmp_seq=57 ttl=113 time=124.940 ms
64 bytes from 95.142.107.181: icmp_seq=58 ttl=113 time=132.486 ms
64 bytes from 95.142.107.181: icmp_seq=59 ttl=113 time=123.325 ms
64 bytes from 95.142.107.181: icmp_seq=60 ttl=113 time=129.603 ms
64 bytes from 95.142.107.181: icmp_seq=61 ttl=113 time=132.732 ms
64 bytes from 95.142.107.181: icmp_seq=62 ttl=113 time=131.969 ms
64 bytes from 95.142.107.181: icmp_seq=63 ttl=113 time=132.055 ms
64 bytes from 95.142.107.181: icmp_seq=64 ttl=113 time=124.648 ms
64 bytes from 95.142.107.181: icmp_seq=65 ttl=113 time=131.732 ms
64 bytes from 95.142.107.181: icmp_seq=66 ttl=113 time=131.593 ms
64 bytes from 95.142.107.181: icmp_seq=67 ttl=113 time=123.749 ms
64 bytes from 95.142.107.181: icmp_seq=68 ttl=113 time=132.054 ms
64 bytes from 95.142.107.181: icmp_seq=69 ttl=113 time=124.289 ms
64 bytes from 95.142.107.181: icmp_seq=70 ttl=113 time=132.725 ms
64 bytes from 95.142.107.181: icmp_seq=71 ttl=113 time=123.909 ms
64 bytes from 95.142.107.181: icmp_seq=72 ttl=113 time=124.440 ms
64 bytes from 95.142.107.181: icmp_seq=73 ttl=113 time=132.310 ms
64 bytes from 95.142.107.181: icmp_seq=74 ttl=113 time=129.422 ms
64 bytes from 95.142.107.181: icmp_seq=75 ttl=113 time=124.743 ms
64 bytes from 95.142.107.181: icmp_seq=76 ttl=113 time=131.984 ms
64 bytes from 95.142.107.181: icmp_seq=77 ttl=113 time=122.921 ms
64 bytes from 95.142.107.181: icmp_seq=78 ttl=113 time=123.938 ms
64 bytes from 95.142.107.181: icmp_seq=79 ttl=113 time=128.039 ms
64 bytes from 95.142.107.181: icmp_seq=80 ttl=113 time=132.111 ms
64 bytes from 95.142.107.181: icmp_seq=81 ttl=113 time=124.073 ms
64 bytes from 95.142.107.181: icmp_seq=82 ttl=113 time=123.348 ms
64 bytes from 95.142.107.181: icmp_seq=83 ttl=113 time=132.593 ms
64 bytes from 95.142.107.181: icmp_seq=84 ttl=113 time=129.597 ms
64 bytes from 95.142.107.181: icmp_seq=85 ttl=113 time=131.700 ms
64 bytes from 95.142.107.181: icmp_seq=86 ttl=113 time=132.186 ms
64 bytes from 95.142.107.181: icmp_seq=87 ttl=113 time=130.532 ms
64 bytes from 95.142.107.181: icmp_seq=88 ttl=113 time=132.303 ms
64 bytes from 95.142.107.181: icmp_seq=89 ttl=113 time=123.378 ms
64 bytes from 95.142.107.181: icmp_seq=90 ttl=113 time=132.234 ms
64 bytes from 95.142.107.181: icmp_seq=91 ttl=113 time=132.720 ms
64 bytes from 95.142.107.181: icmp_seq=92 ttl=113 time=123.778 ms
64 bytes from 95.142.107.181: icmp_seq=93 ttl=113 time=131.882 ms
64 bytes from 95.142.107.181: icmp_seq=94 ttl=113 time=126.256 ms
64 bytes from 95.142.107.181: icmp_seq=95 ttl=113 time=124.338 ms
